Score,Serve Team,Set Score,Game Score
0-1,ASU,0,Opponent1
1-1,UW,0,Opponent1
1-2,ASU,0,Opponent1
1-3,UW,0,Opponent1
2-3,UW,0,Opponent1
3-3,ASU,0,Opponent1
3-4,ASU,0,Opponent1
3-5,UW,0,Opponent1
4-5,UW,0,Opponent1
4-6,ASU,0,Opponent1
4-7,UW,0,Opponent1
5-7,UW,0,Opponent1
5-8,ASU,0,Opponent1
6-8,UW,0,Opponent1
6-9,ASU,0,Opponent1
6-10,UW,0,Opponent1
7-10,UW,0,Opponent1
7-11,ASU,0,Opponent1
8-11,UW,0,Opponent1
8-12,ASU,0,Opponent1
8-13,UW,0,Opponent1
8-14,UW,0,Opponent1
9-14,UW,0,Opponent1
10-14,ASU,0,Opponent1
11-14,ASU,0,Opponent1
11-15,ASU,0,Opponent1
12-15,UW,0,Opponent1
12-16,ASU,0,Opponent1
13-16,UW,0,Opponent1
13-17,ASU,0,Opponent1
14-17,UW,0,Opponent1
14-18,ASU,0,Opponent1
15-18,UW,0,Opponent1
16-18,ASU,0,Opponent1
17-18,ASU,0,Opponent1
18-18,ASU,0,Opponent1
19-18,ASU,0,Opponent1
20-18,ASU,0,Opponent1
20-19,ASU,0,Opponent1
21-19,UW,0,Opponent1
22-19,ASU,0,Opponent1
23-19,ASU,0,Opponent1
23-20,ASU,0,Opponent1
24-20,UW,0,Opponent1
25-20,ASU,0,Opponent1
0-1,UW,10,Opponent1
1-1,UW,10,Opponent1
2-1,ASU,10,Opponent1
2-2,ASU,10,Opponent1
3-2,UW,10,Opponent1
4-2,ASU,10,Opponent1
4-3,ASU,10,Opponent1
5-3,UW,10,Opponent1
5-4,ASU,10,Opponent1
6-4,UW,10,Opponent1
7-4,ASU,10,Opponent1
8-4,ASU,10,Opponent1
8-5,ASU,10,Opponent1
9-5,UW,10,Opponent1
10-5,ASU,10,Opponent1
10-6,ASU,10,Opponent1
10-7,UW,10,Opponent1
11-7,UW,10,Opponent1
12-7,ASU,10,Opponent1
13-7,ASU,10,Opponent1
13-8,ASU,10,Opponent1
14-8,UW,10,Opponent1
15-8,ASU,10,Opponent1
16-8,ASU,10,Opponent1
17-8,ASU,10,Opponent1
18-8,ASU,10,Opponent1
18-9,ASU,10,Opponent1
19-9,UW,10,Opponent1
20-9,ASU,10,Opponent1
20-10,ASU,10,Opponent1
21-10,UW,10,Opponent1
22-10,ASU,10,Opponent1
23-10,ASU,10,Opponent1
23-11,ASU,10,Opponent1
23-12,UW,10,Opponent1
23-13,UW,10,Opponent1
23-14,UW,10,Opponent1
24-14,UW,10,Opponent1
24-15,ASU,10,Opponent1
25-15,UW,10,Opponent1
1-0,ASU,20,Opponent1
1-1,ASU,20,Opponent1
1-2,UW,20,Opponent1
2-2,UW,20,Opponent1
2-3,ASU,20,Opponent1
3-3,UW,20,Opponent1
4-3,ASU,20,Opponent1
5-3,ASU,20,Opponent1
5-4,ASU,20,Opponent1
5-5,UW,20,Opponent1
6-5,UW,20,Opponent1
6-6,ASU,20,Opponent1
7-6,UW,20,Opponent1
8-6,ASU,20,Opponent1
9-6,ASU,20,Opponent1
9-7,ASU,20,Opponent1
9-8,UW,20,Opponent1
10-8,UW,20,Opponent1
11-8,ASU,20,Opponent1
11-9,ASU,20,Opponent1
12-9,UW,20,Opponent1
12-10,ASU,20,Opponent1
12-11,UW,20,Opponent1
12-12,UW,20,Opponent1
12-13,UW,20,Opponent1
12-14,UW,20,Opponent1
12-15,UW,20,Opponent1
12-16,UW,20,Opponent1
13-16,UW,20,Opponent1
13-17,ASU,20,Opponent1
14-17,UW,20,Opponent1
15-17,ASU,20,Opponent1
15-18,ASU,20,Opponent1
16-18,UW,20,Opponent1
16-19,ASU,20,Opponent1
17-19,UW,20,Opponent1
18-19,ASU,20,Opponent1
18-20,ASU,20,Opponent1
19-20,UW,20,Opponent1
19-21,ASU,20,Opponent1
20-21,UW,20,Opponent1
20-22,ASU,20,Opponent1
21-22,UW,20,Opponent1
22-22,ASU,20,Opponent1
23-22,ASU,20,Opponent1
24-22,ASU,20,Opponent1
24-23,ASU,20,Opponent1
24-24,UW,20,Opponent1
25-24,UW,20,Opponent1
25-25,ASU,20,Opponent1
25-26,UW,20,Opponent1
26-26,UW,20,Opponent1
27-26,ASU,20,Opponent1
28-26,ASU,20,Opponent1
0-1,ASU,0,Opponent1
1-1,UW,0,Opponent1
1-2,ASU,0,Opponent1
1-3,UW,0,Opponent1
2-3,UW,0,Opponent1
3-3,ASU,0,Opponent1
3-4,ASU,0,Opponent1
3-5,UW,0,Opponent1
4-5,UW,0,Opponent1
4-6,ASU,0,Opponent1
4-7,UW,0,Opponent1
5-7,UW,0,Opponent1
5-8,ASU,0,Opponent1
6-8,UW,0,Opponent1
6-9,ASU,0,Opponent1
6-10,UW,0,Opponent1
7-10,UW,0,Opponent1
7-11,ASU,0,Opponent1
8-11,UW,0,Opponent1
8-12,ASU,0,Opponent1
8-13,UW,0,Opponent1
8-14,UW,0,Opponent1
9-14,UW,0,Opponent1
10-14,ASU,0,Opponent1
11-14,ASU,0,Opponent1
11-15,ASU,0,Opponent1
12-15,UW,0,Opponent1
12-16,ASU,0,Opponent1
13-16,UW,0,Opponent1
13-17,ASU,0,Opponent1
14-17,UW,0,Opponent1
14-18,ASU,0,Opponent1
15-18,UW,0,Opponent1
16-18,ASU,0,Opponent1
17-18,ASU,0,Opponent1
18-18,ASU,0,Opponent1
19-18,ASU,0,Opponent1
20-18,ASU,0,Opponent1
20-19,ASU,0,Opponent1
21-19,UW,0,Opponent1
22-19,ASU,0,Opponent1
23-19,ASU,0,Opponent1
23-20,ASU,0,Opponent1
24-20,UW,0,Opponent1
25-20,ASU,0,Opponent1
0-1,UW,10,Opponent1
1-1,UW,10,Opponent1
2-1,ASU,10,Opponent1
2-2,ASU,10,Opponent1
3-2,UW,10,Opponent1
4-2,ASU,10,Opponent1
4-3,ASU,10,Opponent1
5-3,UW,10,Opponent1
5-4,ASU,10,Opponent1
6-4,UW,10,Opponent1
7-4,ASU,10,Opponent1
8-4,ASU,10,Opponent1
8-5,ASU,10,Opponent1
9-5,UW,10,Opponent1
10-5,ASU,10,Opponent1
10-6,ASU,10,Opponent1
10-7,UW,10,Opponent1
11-7,UW,10,Opponent1
12-7,ASU,10,Opponent1
13-7,ASU,10,Opponent1
13-8,ASU,10,Opponent1
14-8,UW,10,Opponent1
15-8,ASU,10,Opponent1
16-8,ASU,10,Opponent1
17-8,ASU,10,Opponent1
18-8,ASU,10,Opponent1
18-9,ASU,10,Opponent1
19-9,UW,10,Opponent1
20-9,ASU,10,Opponent1
20-10,ASU,10,Opponent1
21-10,UW,10,Opponent1
22-10,ASU,10,Opponent1
23-10,ASU,10,Opponent1
23-11,ASU,10,Opponent1
23-12,UW,10,Opponent1
23-13,UW,10,Opponent1
23-14,UW,10,Opponent1
24-14,UW,10,Opponent1
24-15,ASU,10,Opponent1
25-15,UW,10,Opponent1
1-0,ASU,20,Opponent1
1-1,ASU,20,Opponent1
1-2,UW,20,Opponent1
2-2,UW,20,Opponent1
2-3,ASU,20,Opponent1
3-3,UW,20,Opponent1
4-3,ASU,20,Opponent1
5-3,ASU,20,Opponent1
5-4,ASU,20,Opponent1
5-5,UW,20,Opponent1
6-5,UW,20,Opponent1
6-6,ASU,20,Opponent1
7-6,UW,20,Opponent1
8-6,ASU,20,Opponent1
9-6,ASU,20,Opponent1
9-7,ASU,20,Opponent1
9-8,UW,20,Opponent1
10-8,UW,20,Opponent1
11-8,ASU,20,Opponent1
11-9,ASU,20,Opponent1
12-9,UW,20,Opponent1
12-10,ASU,20,Opponent1
12-11,UW,20,Opponent1
12-12,UW,20,Opponent1
12-13,UW,20,Opponent1
12-14,UW,20,Opponent1
12-15,UW,20,Opponent1
12-16,UW,20,Opponent1
13-16,UW,20,Opponent1
13-17,ASU,20,Opponent1
14-17,UW,20,Opponent1
15-17,ASU,20,Opponent1
15-18,ASU,20,Opponent1
16-18,UW,20,Opponent1
16-19,ASU,20,Opponent1
17-19,UW,20,Opponent1
18-19,ASU,20,Opponent1
18-20,ASU,20,Opponent1
19-20,UW,20,Opponent1
19-21,ASU,20,Opponent1
20-21,UW,20,Opponent1
20-22,ASU,20,Opponent1
21-22,UW,20,Opponent1
22-22,ASU,20,Opponent1
23-22,ASU,20,Opponent1
24-22,ASU,20,Opponent1
24-23,ASU,20,Opponent1
24-24,UW,20,Opponent1
25-24,UW,20,Opponent1
25-25,ASU,20,Opponent1
25-26,UW,20,Opponent1
26-26,UW,20,Opponent1
27-26,ASU,20,Opponent1
28-26,ASU,20,Opponent1
1-0,UW,0,Opponent2
1-1,ASU,0,Opponent2
2-1,UW,0,Opponent2
2-2,ASU,0,Opponent2
3-2,UW,0,Opponent2
3-3,ASU,0,Opponent2
4-3,UW,0,Opponent2
5-3,ASU,0,Opponent2
5-4,ASU,0,Opponent2
5-5,UW,0,Opponent2
5-6,UW,0,Opponent2
6-6,UW,0,Opponent2
7-6,ASU,0,Opponent2
8-6,ASU,0,Opponent2
9-6,ASU,0,Opponent2
10-6,ASU,0,Opponent2
11-6,ASU,0,Opponent2
11-7,ASU,0,Opponent2
12-7,UW,0,Opponent2
13-7,ASU,0,Opponent2
13-8,ASU,0,Opponent2
14-8,UW,0,Opponent2
14-9,ASU,0,Opponent2
14-10,UW,0,Opponent2
14-11,UW,0,Opponent2
14-12,UW,0,Opponent2
15-12,UW,0,Opponent2
15-13,ASU,0,Opponent2
15-14,UW,0,Opponent2
15-15,UW,0,Opponent2
16-15,UW,0,Opponent2
16-16,ASU,0,Opponent2
16-17,UW,0,Opponent2
17-17,UW,0,Opponent2
18-17,ASU,0,Opponent2
19-17,ASU,0,Opponent2
19-18,ASU,0,Opponent2
19-19,UW,0,Opponent2
20-19,UW,0,Opponent2
20-20,ASU,0,Opponent2
21-20,UW,0,Opponent2
